priority_score,tier,cluster,city,state,slug,url,title,words,review_links,browse_links,gsc_impressions,gsc_avg_position,current_has_form,current_quiz_link,primary_actions,rationale
14329.18,T2 - early GSC signal,National,Rock Hill,SC,rock-hill-sc,https://www.creditdoc.co/city/rock-hill-sc/,"Credit Repair & Financial Services in Rock Hill, SC (2026)",1808,13,1,14,76.79,False,True,Rock Hill Credit Repair Quiz / Rock Hill Credit Calculator CTAs | email capture block wired to /api/email-signup | SC regulator/contact module | Frequently asked questions in Rock Hill | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
14206.46,T1 - active GSC signal,California,Bakersfield,CA,bakersfield-ca,https://www.creditdoc.co/city/bakersfield-ca/,"Credit Repair & Financial Services in Bakersfield, CA (2026)",2656,31,3,13,3.31,False,True,Bakersfield Credit Repair Quiz / Bakersfield Credit Calculator CTAs | email capture block wired to /api/email-signup | CA regulator/contact module | Frequently asked questions in Bakersfield | links to strongest matching /browse/ category pages,"Already earning local impressions or near-page-one visibility; improve capture, local intent, and CTR first."
10981.29,T1 - active GSC signal,New York,Bronx,NY,bronx-ny,https://www.creditdoc.co/city/bronx-ny/,"Credit Repair & Financial Services in Bronx, NY (2026)",2229,21,1,10,14.4,False,True,Bronx Credit Repair Quiz / Bronx Credit Calculator CTAs | email capture block wired to /api/email-signup | NY regulator/contact module | Frequently asked questions in Bronx | links to strongest matching /browse/ category pages,"Already earning local impressions or near-page-one visibility; improve capture, local intent, and CTR first."
10972.55,T1 - active GSC signal,California,Santa Clara,CA,santa-clara-ca,https://www.creditdoc.co/city/santa-clara-ca/,"Credit Repair & Financial Services in Santa Clara, CA (2026)",1855,13,0,10,8.5,False,True,Santa Clara Credit Repair Quiz / Santa Clara Credit Calculator CTAs | email capture block wired to /api/email-signup | CA regulator/contact module | Frequently asked questions in Santa Clara | links to strongest matching /browse/ category pages,"Already earning local impressions or near-page-one visibility; improve capture, local intent, and CTR first."
10476.88,T1 - active GSC signal,National,Seattle,WA,seattle-wa,https://www.creditdoc.co/city/seattle-wa/,"Credit Repair & Financial Services in Seattle, WA (2026)",4308,52,8,9,4.22,False,True,Seattle Credit Repair Quiz / Seattle Credit Calculator CTAs | email capture block wired to /api/email-signup | WA regulator/contact module | Frequently asked questions in Seattle | links to strongest matching /browse/ category pages,"Already earning local impressions or near-page-one visibility; improve capture, local intent, and CTR first."
9725.07,T1 - active GSC signal,California,Los Angeles,CA,los-angeles-ca,https://www.creditdoc.co/city/los-angeles-ca/,"Credit Repair & Financial Services in Los Angeles, CA (2026)",6337,81,12,8,6.13,False,True,Los Angeles Credit Repair Quiz / Los Angeles Credit Calculator CTAs | email capture block wired to /api/email-signup | CA regulator/contact module | Frequently asked questions in Los Angeles | links to strongest matching /browse/ category pages,"Already earning local impressions or near-page-one visibility; improve capture, local intent, and CTR first."
8764.44,T2 - early GSC signal,Georgia,Marietta,GA,marietta-ga,https://www.creditdoc.co/city/marietta-ga/,"Credit Repair & Financial Services in Marietta, GA (2026)",2124,19,1,8,35.38,False,True,Marietta Credit Repair Quiz / Marietta Credit Calculator CTAs | email capture block wired to /api/email-signup | GA regulator/contact module | Frequently asked questions in Marietta | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
8076.87,T2 - early GSC signal,Texas,Grand Prairie,TX,grand-prairie-tx,https://www.creditdoc.co/city/grand-prairie-tx/,"Credit Repair & Financial Services in Grand Prairie, TX",1997,18,1,7,3.71,False,True,Grand Prairie Credit Repair Quiz / Grand Prairie Credit Calculator CTAs | email capture block wired to /api/email-signup | TX regulator/contact module | Frequently asked questions in Grand Prairie | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
7815.18,T2 - early GSC signal,National,Edmond,OK,edmond-ok,https://www.creditdoc.co/city/edmond-ok/,"Credit Repair & Financial Services in Edmond, OK (2026)",1608,14,0,7,24.29,False,True,Edmond Credit Repair Quiz / Edmond Credit Calculator CTAs | email capture block wired to /api/email-signup | OK regulator/contact module | Frequently asked questions in Edmond | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
7267.15,T2 - early GSC signal,Texas,Arlington,TX,arlington-tx,https://www.creditdoc.co/city/arlington-tx/,"Credit Repair & Financial Services in Arlington, TX (2026)",3245,36,4,6,3.33,False,True,Arlington Credit Repair Quiz / Arlington Credit Calculator CTAs | email capture block wired to /api/email-signup | TX regulator/contact module | Frequently asked questions in Arlington | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
7026.03,T2 - early GSC signal,National,Warren,MI,warren-mi,https://www.creditdoc.co/city/warren-mi/,"Credit Repair & Financial Services in Warren, MI (2026)",1733,14,0,6,3.33,False,True,Warren Credit Repair Quiz / Warren Credit Calculator CTAs | email capture block wired to /api/email-signup | MI regulator/contact module | Frequently asked questions in Warren | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
7022.42,T2 - early GSC signal,National,Knoxville,TN,knoxville-tn,https://www.creditdoc.co/city/knoxville-tn/,"Credit Repair & Financial Services in Knoxville, TN (2026)",1772,16,0,6,4.33,False,True,Knoxville Credit Repair Quiz / Knoxville Credit Calculator CTAs | email capture block wired to /api/email-signup | TN regulator/contact module | Frequently asked questions in Knoxville | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
6801.82,T2 - early GSC signal,Texas,Carrollton,TX,carrollton-tx,https://www.creditdoc.co/city/carrollton-tx/,"Credit Repair & Financial Services in Carrollton, TX (2026)",1712,11,0,6,24.83,False,True,Carrollton Credit Repair Quiz / Carrollton Credit Calculator CTAs | email capture block wired to /api/email-signup | TX regulator/contact module | Frequently asked questions in Carrollton | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
6687.16,T2 - early GSC signal,Texas,Dallas,TX,dallas-tx,https://www.creditdoc.co/city/dallas-tx/,"Credit Repair & Financial Services in Dallas, TX (2026)",5916,74,11,5,3.4,False,True,Dallas Credit Repair Quiz / Dallas Credit Calculator CTAs | email capture block wired to /api/email-signup | TX regulator/contact module | Frequently asked questions in Dallas | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
6032.66,T2 - early GSC signal,National,Dearborn,MI,dearborn-mi,https://www.creditdoc.co/city/dearborn-mi/,"Credit Repair & Financial Services in Dearborn, MI (2026)",1766,13,0,5,2.4,False,True,Dearborn Credit Repair Quiz / Dearborn Credit Calculator CTAs | email capture block wired to /api/email-signup | MI regulator/contact module | Frequently asked questions in Dearborn | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
6000.23,T2 - early GSC signal,Georgia,Sandy Springs,GA,sandy-springs-ga,https://www.creditdoc.co/city/sandy-springs-ga/,"Credit Repair & Financial Services in Sandy Springs, GA",1623,12,0,5,5.2,False,True,Sandy Springs Credit Repair Quiz / Sandy Springs Credit Calculator CTAs | email capture block wired to /api/email-signup | GA regulator/contact module | Frequently asked questions in Sandy Springs | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
5618.36,T2 - early GSC signal,National,Philadelphia,PA,philadelphia-pa,https://www.creditdoc.co/city/philadelphia-pa/,"Credit Repair & Financial Services in Philadelphia, PA",5986,77,9,4,3.25,False,True,Philadelphia Credit Repair Quiz / Philadelphia Credit Calculator CTAs | email capture block wired to /api/email-signup | PA regulator/contact module | Frequently asked questions in Philadelphia | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
5348.61,T2 - early GSC signal,National,Marrero,LA,marrero-la,https://www.creditdoc.co/city/marrero-la/,"Credit Repair & Financial Services in Marrero, LA (2026)",1461,10,0,5,69.6,False,True,Marrero Credit Repair Quiz / Marrero Credit Calculator CTAs | email capture block wired to /api/email-signup | LA regulator/contact module | Frequently asked questions in Marrero | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
5304.62,T2 - early GSC signal,National,Omaha,NE,omaha-ne,https://www.creditdoc.co/city/omaha-ne/,"Credit Repair & Financial Services in Omaha, NE (2026)",3262,39,5,4,4.5,False,True,Omaha Credit Repair Quiz / Omaha Credit Calculator CTAs | email capture block wired to /api/email-signup | NE regulator/contact module | Frequently asked questions in Omaha | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
5107.16,T2 - early GSC signal,California,National City,CA,national-city-ca,https://www.creditdoc.co/city/national-city-ca/,"Credit Repair & Financial Services in National City, CA",2266,19,2,4,5.25,False,True,National City Credit Repair Quiz / National City Credit Calculator CTAs | email capture block wired to /api/email-signup | CA regulator/contact module | Frequently asked questions in National City | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
5063.37,T2 - early GSC signal,National,Norfolk,VA,norfolk-va,https://www.creditdoc.co/city/norfolk-va/,"Credit Repair & Financial Services in Norfolk, VA (2026)",1987,17,1,4,4.75,False,True,Norfolk Credit Repair Quiz / Norfolk Credit Calculator CTAs | email capture block wired to /api/email-signup | VA regulator/contact module | Frequently asked questions in Norfolk | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
4774.40,T2 - early GSC signal,Florida,Miami,FL,miami-fl,https://www.creditdoc.co/city/miami-fl/,"Credit Repair & Financial Services in Miami, FL (2026)",6510,82,13,3,5.67,False,True,Miami Credit Repair Quiz / Miami Credit Calculator CTAs | email capture block wired to /api/email-signup | FL regulator/contact module | Frequently asked questions in Miami | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
4087.68,T2 - early GSC signal,California,Oakland,CA,oakland-ca,https://www.creditdoc.co/city/oakland-ca/,"Credit Repair & Financial Services in Oakland, CA (2026)",2198,23,1,3,4.33,False,True,Oakland Credit Repair Quiz / Oakland Credit Calculator CTAs | email capture block wired to /api/email-signup | CA regulator/contact module | Frequently asked questions in Oakland | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
4070.03,T2 - early GSC signal,California,Chula Vista,CA,chula-vista-ca,https://www.creditdoc.co/city/chula-vista-ca/,"Credit Repair & Financial Services in Chula Vista, CA (2026)",2203,16,2,3,8,False,True,Chula Vista Credit Repair Quiz / Chula Vista Credit Calculator CTAs | email capture block wired to /api/email-signup | CA regulator/contact module | Frequently asked questions in Chula Vista | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
4045.52,T2 - early GSC signal,National,Highland Park,MI,highland-park-mi,https://www.creditdoc.co/city/highland-park-mi/,"Credit Repair & Financial Services in Highland Park, MI",1652,13,0,3,1,False,True,Highland Park Credit Repair Quiz / Highland Park Credit Calculator CTAs | email capture block wired to /api/email-signup | MI regulator/contact module | Frequently asked questions in Highland Park | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
4005.87,T2 - early GSC signal,Florida,Opa Locka,FL,opa-locka-fl,https://www.creditdoc.co/city/opa-locka-fl/,"Credit Repair & Financial Services in Opa-locka, FL (2026)",1587,10,1,3,8,False,True,Opa Locka Credit Repair Quiz / Opa Locka Credit Calculator CTAs | email capture block wired to /api/email-signup | FL regulator/contact module | Frequently asked questions in Opa Locka | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
3991.97,T2 - early GSC signal,National,Goodlettsville,TN,goodlettsville-tn,https://www.creditdoc.co/city/goodlettsville-tn/,"Credit Repair & Financial Services in Goodlettsville, TN",1627,13,0,3,6.33,False,True,Goodlettsville Credit Repair Quiz / Goodlettsville Credit Calculator CTAs | email capture block wired to /api/email-signup | TN regulator/contact module | Frequently asked questions in Goodlettsville | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
3975.85,T2 - early GSC signal,California,San Ysidro,CA,san-ysidro-ca,https://www.creditdoc.co/city/san-ysidro-ca/,"Credit Repair & Financial Services in San Ysidro, CA (2026)",1685,13,0,3,8,False,True,San Ysidro Credit Repair Quiz / San Ysidro Credit Calculator CTAs | email capture block wired to /api/email-signup | CA regulator/contact module | Frequently asked questions in San Ysidro | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
3881.77,T2 - early GSC signal,New York,New York,NY,new-york-ny,https://www.creditdoc.co/city/new-york-ny/,"Credit Repair & Financial Services in New York, NY (2026)",7477,89,15,2,6,False,True,New York Credit Repair Quiz / New York Credit Calculator CTAs | email capture block wired to /api/email-signup | NY regulator/contact module | Frequently asked questions in New York | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
3797.17,T2 - early GSC signal,National,Jefferson,LA,jefferson-la,https://www.creditdoc.co/city/jefferson-la/,"Credit Repair & Financial Services in Jefferson, LA (2026)",1387,10,0,3,24.67,False,True,Jefferson Credit Repair Quiz / Jefferson Credit Calculator CTAs | email capture block wired to /api/email-signup | LA regulator/contact module | Frequently asked questions in Jefferson | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
3410.55,T2 - early GSC signal,Georgia,Riverdale,GA,riverdale-ga,https://www.creditdoc.co/city/riverdale-ga/,"Credit Repair & Financial Services in Riverdale, GA (2026)",1385,10,0,3,63.33,False,True,Riverdale Credit Repair Quiz / Riverdale Credit Calculator CTAs | email capture block wired to /api/email-signup | GA regulator/contact module | Frequently asked questions in Riverdale | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
3394.71,T2 - early GSC signal,National,Commerce City,CO,commerce-city-co,https://www.creditdoc.co/city/commerce-city-co/,"Credit Repair & Financial Services in Commerce City, CO",1541,12,0,3,65.67,False,True,Commerce City Credit Repair Quiz / Commerce City Credit Calculator CTAs | email capture block wired to /api/email-signup | CO regulator/contact module | Frequently asked questions in Commerce City | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
3229.22,T2 - early GSC signal,California,Sacramento,CA,sacramento-ca,https://www.creditdoc.co/city/sacramento-ca/,"Credit Repair & Financial Services in Sacramento, CA (2026)",2922,35,4,2,6.5,False,True,Sacramento Credit Repair Quiz / Sacramento Credit Calculator CTAs | email capture block wired to /api/email-signup | CA regulator/contact module | Frequently asked questions in Sacramento | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
3200.08,T2 - early GSC signal,California,Van Nuys,CA,van-nuys-ca,https://www.creditdoc.co/city/van-nuys-ca/,"Credit Repair & Financial Services in Van Nuys, CA (2026)",1908,17,0,3,87,False,True,Van Nuys Credit Repair Quiz / Van Nuys Credit Calculator CTAs | email capture block wired to /api/email-signup | CA regulator/contact module | Frequently asked questions in Van Nuys | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
3135.26,T2 - early GSC signal,Texas,Irving,TX,irving-tx,https://www.creditdoc.co/city/irving-tx/,"Credit Repair & Financial Services in Irving, TX (2026)",2326,24,2,2,4,False,True,Irving Credit Repair Quiz / Irving Credit Calculator CTAs | email capture block wired to /api/email-signup | TX regulator/contact module | Frequently asked questions in Irving | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
3036.01,T2 - early GSC signal,Florida,Hollywood,FL,hollywood-fl,https://www.creditdoc.co/city/hollywood-fl/,"Credit Repair & Financial Services in Hollywood, FL (2026)",2001,17,0,2,3.5,False,True,Hollywood Credit Repair Quiz / Hollywood Credit Calculator CTAs | email capture block wired to /api/email-signup | FL regulator/contact module | Frequently asked questions in Hollywood | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
3009.53,T2 - early GSC signal,National,Bartlett,TN,bartlett-tn,https://www.creditdoc.co/city/bartlett-tn/,"Credit Repair & Financial Services in Bartlett, TN (2026)",1853,17,1,2,10,False,True,Bartlett Credit Repair Quiz / Bartlett Credit Calculator CTAs | email capture block wired to /api/email-signup | TN regulator/contact module | Frequently asked questions in Bartlett | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
3002.18,T2 - early GSC signal,National,Tempe,AZ,tempe-az,https://www.creditdoc.co/city/tempe-az/,"Credit Repair & Financial Services in Tempe, AZ (2026)",2218,20,1,2,12,False,True,Tempe Credit Repair Quiz / Tempe Credit Calculator CTAs | email capture block wired to /api/email-signup | AZ regulator/contact module | Frequently asked questions in Tempe | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
2658.75,T2 - early GSC signal,Texas,San Antonio,TX,san-antonio-tx,https://www.creditdoc.co/city/san-antonio-tx/,"Credit Repair & Financial Services in San Antonio, TX (2026)",6175,69,12,1,9,False,True,San Antonio Credit Repair Quiz / San Antonio Credit Calculator CTAs | email capture block wired to /api/email-signup | TX regulator/contact module | Frequently asked questions in San Antonio | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
2636.27,T2 - early GSC signal,Florida,Brandon,FL,brandon-fl,https://www.creditdoc.co/city/brandon-fl/,"Credit Repair & Financial Services in Brandon, FL (2026)",1827,11,1,2,45.5,False,True,Brandon Credit Repair Quiz / Brandon Credit Calculator CTAs | email capture block wired to /api/email-signup | FL regulator/contact module | Frequently asked questions in Brandon | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
2633.55,T2 - early GSC signal,Texas,Austin,TX,austin-tx,https://www.creditdoc.co/city/austin-tx/,"Credit Repair & Financial Services in Austin, TX (2026)",5755,72,10,1,4,False,True,Austin Credit Repair Quiz / Austin Credit Calculator CTAs | email capture block wired to /api/email-signup | TX regulator/contact module | Frequently asked questions in Austin | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
2618.08,T2 - early GSC signal,National,Nashville,TN,nashville-tn,https://www.creditdoc.co/city/nashville-tn/,"Credit Repair & Financial Services in Nashville, TN (2026)",5408,68,10,1,4,False,True,Nashville Credit Repair Quiz / Nashville Credit Calculator CTAs | email capture block wired to /api/email-signup | TN regulator/contact module | Frequently asked questions in Nashville | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
2516.02,T2 - early GSC signal,National,Memphis,TN,memphis-tn,https://www.creditdoc.co/city/memphis-tn/,"Credit Repair & Financial Services in Memphis, TN (2026)",5002,62,8,1,4,False,True,Memphis Credit Repair Quiz / Memphis Credit Calculator CTAs | email capture block wired to /api/email-signup | TN regulator/contact module | Frequently asked questions in Memphis | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
2495.28,T2 - early GSC signal,National,Charlotte,NC,charlotte-nc,https://www.creditdoc.co/city/charlotte-nc/,"Credit Repair & Financial Services in Charlotte, NC (2026)",5328,64,9,1,11,False,True,Charlotte Credit Repair Quiz / Charlotte Credit Calculator CTAs | email capture block wired to /api/email-signup | NC regulator/contact module | Frequently asked questions in Charlotte | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
2411.48,T2 - early GSC signal,New York,Brooklyn,NY,brooklyn-ny,https://www.creditdoc.co/city/brooklyn-ny/,"Credit Repair & Financial Services in Brooklyn, NY (2026)",4948,64,7,1,11,False,True,Brooklyn Credit Repair Quiz / Brooklyn Credit Calculator CTAs | email capture block wired to /api/email-signup | NY regulator/contact module | Frequently asked questions in Brooklyn | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
2359.18,T2 - early GSC signal,California,Irvine,CA,irvine-ca,https://www.creditdoc.co/city/irvine-ca/,"Credit Repair & Financial Services in Irvine, CA (2026)",2218,19,2,2,80,False,True,Irvine Credit Repair Quiz / Irvine Credit Calculator CTAs | email capture block wired to /api/email-signup | CA regulator/contact module | Frequently asked questions in Irvine | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
2338.51,T2 - early GSC signal,National,Louisville,KY,louisville-ky,https://www.creditdoc.co/city/louisville-ky/,"Credit Repair & Financial Services in Louisville, KY (2026)",3551,41,5,1,2,False,True,Louisville Credit Repair Quiz / Louisville Credit Calculator CTAs | email capture block wired to /api/email-signup | KY regulator/contact module | Frequently asked questions in Louisville | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
2280.95,T2 - early GSC signal,National,Kansas City,MO,kansas-city-mo,https://www.creditdoc.co/city/kansas-city-mo/,"Credit Repair & Financial Services in Kansas City, MO (2026)",3295,36,5,1,6,False,True,Kansas City Credit Repair Quiz / Kansas City Credit Calculator CTAs | email capture block wired to /api/email-signup | MO regulator/contact module | Frequently asked questions in Kansas City | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
2105.59,T2 - early GSC signal,National,Salt Lake City,UT,salt-lake-city-ut,https://www.creditdoc.co/city/salt-lake-city-ut/,"Credit Repair & Financial Services in Salt Lake City, UT",2359,24,2,1,7,False,True,Salt Lake City Credit Repair Quiz / Salt Lake City Credit Calculator CTAs | email capture block wired to /api/email-signup | UT regulator/contact module | Frequently asked questions in Salt Lake City | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
2089.64,T2 - early GSC signal,National,Independence,MO,independence-mo,https://www.creditdoc.co/city/independence-mo/,"Credit Repair & Financial Services in Independence, MO",1864,17,1,1,2,False,True,Independence Credit Repair Quiz / Independence Credit Calculator CTAs | email capture block wired to /api/email-signup | MO regulator/contact module | Frequently asked questions in Independence | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
2043.57,T2 - early GSC signal,California,La Mesa,CA,la-mesa-ca,https://www.creditdoc.co/city/la-mesa-ca/,"Credit Repair & Financial Services in La Mesa, CA (2026)",1757,12,1,1,5,False,True,La Mesa Credit Repair Quiz / La Mesa Credit Calculator CTAs | email capture block wired to /api/email-signup | CA regulator/contact module | Frequently asked questions in La Mesa | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
2039.42,T2 - early GSC signal,Georgia,Kingsland,GA,kingsland-ga,https://www.creditdoc.co/city/kingsland-ga/,"Credit Repair & Financial Services in Kingsland, GA (2026)",1742,14,1,1,6,False,True,Kingsland Credit Repair Quiz / Kingsland Credit Calculator CTAs | email capture block wired to /api/email-signup | GA regulator/contact module | Frequently asked questions in Kingsland | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
2019.57,T2 - early GSC signal,National,Overland Park,KS,overland-park-ks,https://www.creditdoc.co/city/overland-park-ks/,"Credit Repair & Financial Services in Overland Park, KS",1757,14,0,1,4,False,True,Overland Park Credit Repair Quiz / Overland Park Credit Calculator CTAs | email capture block wired to /api/email-signup | KS regulator/contact module | Frequently asked questions in Overland Park | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
2004.74,T2 - early GSC signal,National,Greenwood Village,CO,greenwood-village-co,https://www.creditdoc.co/city/greenwood-village-co/,"Credit Repair & Financial Services in Greenwood Village, CO",1474,10,0,1,4,False,True,Greenwood Village Credit Repair Quiz / Greenwood Village Credit Calculator CTAs | email capture block wired to /api/email-signup | CO regulator/contact module | Frequently asked questions in Greenwood Village | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
